screen,on,,1572041305090
screen,off,,1572041312886
screen,off,,1572041426910
screen,on,,1572041649235
screen,off,,1572041703795
screen,off,,1572041716395
screen,on,,1572041857386
screen,off,,1572041916348
screen,on,,1572041920485
screen,off,,1572041948278
screen,off,,1572042002185
screen,on,,1572042130381
screen,off,,1572042197251
screen,on,,1572042333248
screen,off,,1572042506078
screen,off,,1572042783683
screen,on,,1572043149964
screen,off,,1572043175113
screen,on,,1572043300613
screen,off,,1572043312434
screen,on,,1572043353815
screen,off,,1572043445896
screen,off,,1572043512949
screen,off,,1572043527412
screen,on,,1572043605065
screen,off,,1572043624753
screen,off,,1572043782091
screen,on,,1572043895059
screen,off,,1572043910042
screen,off,,1572044064699
screen,on,,1572044391527
screen,off,,1572044453194
screen,on,,1572044479817
screen,on,,1572044484427
screen,off,,1572044774757
screen,on,,1572044834836
screen,off,,1572044886508
screen,on,,1572044985571
screen,on,,1572045014011
screen,off,,1572045023248
screen,on,,1572046073182
screen,off,,1572046232940
screen,on,,1572046747796
screen,on,,1572046783345
screen,off,,1572046791008
screen,off,,1572046811696
screen,off,,1572046840700
screen,off,,1572046914281
screen,on,,1572047048915
screen,off,,1572047125562
screen,on,,1572047181082
screen,off,,1572047315352
screen,off,,1572047502849
screen,on,,1572047783675
screen,off,,1572047827443
screen,on,,1572047843073
screen,off,,1572047872254
screen,on,,1572050082693
screen,off,,1572050098508
screen,on,,1572050357474
screen,off,,1572050389358
screen,on,,1572050441929
screen,on,,1572050484269
screen,off,,1572050493448
screen,on,,1572051296622
screen,off,,1572051307430
screen,off,,1572051646602
screen,off,,1572051905907
screen,on,,1572052068315
screen,off,,1572052073349
screen,off,,1572052416781
screen,off,,1572052870351
screen,on,,1572052954087
screen,off,,1572053041315
screen,off,,1572053136577
screen,off,,1572053182459
screen,on,,1572053309202
screen,off,,1572053329386
screen,on,,1572053823786
screen,off,,1572053845723
screen,off,,1572053853932
screen,off,,1572054009035
screen,off,,1572054029683
screen,on,,1572054296606
screen,on,,1572054409894
screen,off,,1572054417765
screen,off,,1572054444761
screen,off,,1572054529472
screen,off,,1572054594482
screen,on,,1572054756968
screen,off,,1572054778907
screen,on,,1572054887802
screen,on,,1572054912300
screen,off,,1572054920068
screen,off,,1572055161582
screen,off,,1572055211828
screen,on,,1572055463600
screen,off,,1572055574732
screen,off,,1572056132537
screen,off,,1572056766437
screen,off,,1572056777857
screen,off,,1572056873205
screen,off,,1572057085150
screen,on,,1572057086795
screen,off,,1572057198173
screen,on,,1572057899402
screen,off,,1572057929885
screen,on,,1572058538968
screen,off,,1572058562601
screen,on,,1572058791567
screen,off,,1572059211567
screen,off,,1572059363327
screen,on,,1572059430608
screen,off,,1572059512312
screen,on,,1572059794704
screen,off,,1572059846175
screen,on,,1572060325513
screen,off,,1572060394756
screen,on,,1572060433620
screen,on,,1572060466177
screen,off,,1572060474409
screen,on,,1572060535302
screen,off,,1572060595476
screen,off,,1572060673059
screen,on,,1572060799742
screen,off,,1572060865165
screen,on,,1572061003300
screen,off,,1572061147315
screen,off,,1572061426932
screen,off,,1572061435556
screen,on,,1572061506117
screen,off,,1572061576689
screen,on,,1572061694968
screen,on,,1572061718416
screen,on,,1572062149735
screen,off,,1572062180041
screen,on,,1572062479822
screen,off,,1572062530963
screen,off,,1572062544595
screen,on,,1572062567777
screen,off,,1572062596827
screen,on,,1572062906773
screen,off,,1572062957803
screen,on,,1572063031177
screen,off,,1572063073117
screen,off,,1572063148424
screen,off,,1572063280518
screen,on,,1572063655423
screen,off,,1572063698449
screen,on,,1572063713548
screen,off,,1572063899207
screen,on,,1572064368543
screen,off,,1572064436030
screen,off,,1572064480397
screen,on,,1572064531324
screen,off,,1572064562699
screen,off,,1572064579978
screen,off,,1572064590471
screen,on,,1572064891895
screen,off,,1572064991640
screen,off,,1572065300009
screen,off,,1572065324658
screen,off,,1572066106170
screen,on,,1572066163219
screen,off,,1572066232506
screen,on,,1572066416845
screen,off,,1572066470471
screen,on,,1572066709966
screen,off,,1572066771005
screen,on,,1572066858356
screen,off,,1572066994804
screen,on,,1572067132710
screen,off,,1572067149644
screen,on,,1572067480961
screen,off,,1572067536136
screen,off,,1572067680982
screen,on,,1572067695864
screen,on,,1572067792133
screen,on,,1572067795723
screen,off,,1572067802626
screen,on,,1572067822316
screen,off,,1572067830211
